ds,y,Ensemble,pred_pct,actual_pct,confidence,signal
2025-09-12,169.77999877929688,170.00891,0.35352544581585293,0.2184021658635109,0.35352544581585293,BUY
2025-09-15,169.22999572753906,170.54991,0.4534766905773157,-0.3239504392226915,0.4534766905773157,BUY
2025-09-16,172.02000427246094,169.90764,0.4004271342987165,1.648648948389622,0.4004271342987165,BUY
2025-09-17,171.36000061035156,172.37794,0.20808084230784346,-0.3836784360637505,0.20808084230784346,HOLD
2025-09-18,172.02999877929688,171.42738,0.03932236943277037,0.390988659289745,0.03932236943277037,HOLD
2025-09-19,171.47999572753906,172.1205,0.052607032826753004,-0.31971345443269467,0.052607032826753004,HOLD
2025-09-22,171.38999938964844,171.60313,0.07180920853883566,-0.052482120441394386,0.07180920853883566,HOLD
2025-09-23,173.2899932861328,171.55103,0.09395297365657619,1.1085792072178107,0.09395297365657619,HOLD
2025-09-24,172.66000366210938,173.30412,0.008153753372558815,-0.3635464530160214,0.008153753372558815,HOLD
2025-09-25,172.3800048828125,172.76472,0.06065160842975169,-0.16216771305346692,0.06065160842975169,HOLD
2025-09-26,167.39999389648438,172.58606,0.11953514425300095,-2.888972528869366,0.11953514425300095,HOLD
2025-09-29,168.97999572753906,167.47705,0.04603159353355466,0.9438482011126702,0.04603159353355466,HOLD
2025-09-30,168.77000427246094,168.93431,-0.027035634754534226,-0.12427000851432865,0.027035634754534226,HOLD
2025-10-01,167.50999450683594,168.61159,-0.09386546426290793,-0.746583950777681,0.09386546426290793,HOLD
2025-10-03,173.2100067138672,167.4419,-0.04065427605464962,3.4027893223998866,0.04065427605464962,HOLD
2025-10-06,170.05999755859375,172.94592,-0.15246455289441713,-1.8186069125192452,0.15246455289441713,HOLD
2025-10-07,171.42999267578125,170.17514,0.06770717624287442,0.8055951645627135,0.06770717624287442,HOLD
2025-10-08,171.94000244140625,171.7336,0.17710093854507533,0.2975032301317082,0.17710093854507533,HOLD
2025-10-09,176.4199981689453,172.29881,0.20868350570540617,2.6055575572448633,0.20868350570540617,HOLD
2025-10-10,173.86000061035156,176.59198,0.09748430637593723,-1.451081274891646,0.09748430637593723,HOLD
2025-10-13,173.02999877929688,174.0589,0.1144014234047145,-0.47739665716144575,0.1144014234047145,HOLD
2025-10-14,170.50999450683594,173.50285,0.27327897913294663,-1.4563973243016963,0.27327897913294663,HOLD
2025-10-15,173.24000549316406,171.22194,0.4175383279656269,1.6010856103914048,0.4175383279656269,BUY
2025-10-16,174.0,173.91821,0.39148428535907603,0.4386945755816929,0.39148428535907603,BUY
2025-10-17,172.22000122070312,174.70561,0.40552424288344113,-1.0229878041936065,0.40552424288344113,BUY
2025-10-20,171.9499969482422,173.14757,0.538593962226036,-0.15677869617183549,0.538593962226036,BUY
2025-10-21,172.77999877929688,172.74951,0.4649693426563249,0.482699532297475,0.4649693426563249,BUY
2025-10-23,174.16000366210938,173.50623,0.4203187937096132,0.798706385323726,0.4203187937096132,BUY
2025-10-24,174.44000244140625,174.51271,0.20251889168765744,0.16077099989048296,0.20251889168765744,HOLD
2025-10-27,176.66000366210938,174.63829,0.11367115403119288,1.2726445709887073,0.11367115403119288,HOLD
2025-10-28,181.80999755859375,176.60078,-0.03352165692514591,2.915200831952073,0.03352165692514591,HOLD
2025-10-29,185.19000244140625,181.17812,-0.34755058707018827,1.8590863693968156,0.34755058707018827,SELL
2025-10-30,184.35000610351562,184.161,-0.5556493031168831,-0.4535862232392368,0.5556493031168831,SELL
2025-10-31,182.83999633789062,183.46509,-0.4800207125535589,-0.8190993846656582,0.4800207125535589,SELL
2025-11-03,182.6699981689453,182.27705,-0.30788805302888306,-0.09297646704780815,0.30788805302888306,SELL
2025-11-04,179.2899932861328,182.23415,-0.23860078565180975,-1.8503338899070045,0.23860078565180975,HOLD
2025-11-05,179.2899932861328,179.06042,-0.12804310895306864,0.0,0.12804310895306864,HOLD
2025-11-06,177.27000427246094,179.19818,-0.05120873290598964,-1.1266602093336746,0.05120873290598964,HOLD
2025-11-07,181.3699951171875,177.27333,0.0018764686272091224,2.312850874886282,0.0018764686272091224,HOLD
2025-11-10,181.47999572753906,181.21045,-0.08796708536845556,0.060649839175707355,0.08796708536845556,HOLD
2025-11-11,181.0399932861328,181.19775,-0.15552227679837505,-0.242452309766878,0.15552227679837505,HOLD
2025-11-12,178.61000061035156,180.743,-0.16405053100233913,-1.3422408119186453,0.16405053100233913,HOLD
2025-11-13,176.64999389648438,178.31877,-0.1630531588666242,-1.0973667248023025,0.1630531588666242,HOLD
2025-11-14,174.25999450683594,176.41847,-0.13106233481161766,-1.352957527442067,0.13106233481161766,HOLD
2025-11-17,173.1699981689453,174.00557,-0.1460031314405581,-0.6255000414612467,0.1460031314405581,HOLD
2025-11-18,172.4499969482422,173.11412,-0.0322675325620553,-0.41577711400140405,0.0322675325620553,HOLD
2025-11-19,173.2100067138672,172.66307,0.12355681892688018,0.44071312210756575,0.12355681892688018,HOLD
2025-11-20,172.4600067138672,173.47566,0.15337192268398925,-0.4330003873499966,0.15337192268398925,HOLD
2025-11-21,168.0,172.66833,0.12079800473158697,-2.5861107156669076,0.12079800473158697,HOLD
2025-11-24,165.36000061035156,168.15872,0.09447733561197916,-1.5714282081240698,0.09447733561197916,HOLD
2025-11-25,166.3300018310547,165.573,0.12880831866065187,0.5865996716998094,0.12880831866065187,HOLD
2025-11-26,169.6699981689453,166.52782,0.11892920052220964,2.008054049853939,0.11892920052220964,HOLD
2025-11-27,168.1300048828125,169.88506,0.12675038331333993,-0.9076403033843359,0.12675038331333993,HOLD
2025-11-28,167.9600067138672,168.29366,0.0973356973428852,-0.10111114257315469,0.0973356973428852,HOLD
2025-12-01,168.6300048828125,167.96457,0.0027163477895424605,0.39890339495324384,0.0027163477895424605,HOLD
2025-12-02,167.77999877929688,168.51964,-0.06544910045265115,-0.5040657527741442,0.06544910045265115,HOLD
2025-12-03,166.9199981689453,167.72395,-0.03340417966046511,-0.5125763598811528,0.03340417966046511,HOLD
2025-12-04,166.77000427246094,166.85353,-0.03981984536626716,-0.08985975205473054,0.03981984536626716,HOLD
2025-12-05,167.11000061035156,166.90895,0.08331626170382579,0.20387139724188955,0.08331626170382579,HOLD
